city	code	votes_r1	votes_r2	le_pen_r2	macron_r2	le_pen_r1	macron_r1	melenchon_r1	zemmour_r1	pecresse_r1	roussel_r1	jadot_r1	lassalle_r1	dupont-aignan_r1	hidalgo_r1	poutou_r1	arthaud_r1
Vieux-Berquin	59615	1572	1496	0.53	0.47	0.33	0.28	0.13	0.07	0.06	0.03	0.04	0.03	0.02	0.02	0.01	0.01
Vieux-Condé	59616	4958	4687	0.67	0.33	0.43	0.16	0.21	0.06	0.02	0.07	0.01	0.02	0.02	0.01	0	0.01
Vieux-Mesnil	59617	354	336	0.58	0.42	0.39	0.29	0.13	0.04	0.02	0.02	0.02	0.03	0.03	0.01	0	0.02
Vieux-Reng	59618	413	425	0.7	0.3	0.48	0.18	0.14	0.08	0.02	0.02	0.02	0	0.03	0.01	0	0.01
Villeneuve-d'Ascq	59009	27984	25434	0.27	0.73	0.14	0.29	0.34	0.05	0.03	0.03	0.06	0.01	0.01	0.02	0.01	0.01
Villereau	59619	582	534	0.52	0.48	0.33	0.28	0.15	0.06	0.03	0.03	0.04	0.02	0.02	0.02	0.01	0.01
Villers-Guislain	59623	430	418	0.73	0.27	0.53	0.19	0.07	0.07	0.03	0.03	0.01	0.03	0.02	0	0.01	0
Villers-Outréaux	59624	1079	1065	0.63	0.37	0.42	0.24	0.13	0.09	0.04	0.01	0.01	0.03	0.02	0	0.01	0.01
Villers-Plouich	59625	234	221	0.58	0.42	0.41	0.24	0.09	0.05	0.07	0.03	0.02	0.01	0.02	0.03	0	0.03
Villers-Pol	59626	728	706	0.42	0.58	0.25	0.38	0.11	0.08	0.05	0.03	0.03	0.03	0.02	0.01	0	0
Villers-Sire-Nicole	59627	487	488	0.63	0.37	0.47	0.21	0.1	0.07	0.05	0.02	0.02	0.02	0.02	0.01	0.01	0.01
Villers-au-Tertre	59620	396	378	0.52	0.48	0.35	0.22	0.16	0.04	0.03	0.06	0.06	0.02	0.01	0.03	0.01	0.01
Villers-en-Cauchies	59622	646	623	0.68	0.32	0.45	0.19	0.15	0.07	0.03	0.04	0.02	0.01	0.02	0.01	0.01	0
Volckerinckhove	59628	350	343	0.49	0.51	0.35	0.33	0.09	0.05	0.05	0.03	0.03	0.02	0.02	0.01	0.01	0.01
Vred	59629	782	740	0.59	0.41	0.35	0.22	0.18	0.06	0.02	0.05	0.04	0.03	0.02	0.02	0.01	0
Wahagnies	59630	1490	1433	0.51	0.49	0.33	0.26	0.16	0.07	0.03	0.03	0.04	0.02	0.02	0.02	0.01	0.01
Walincourt-Selvigny	59631	1037	1007	0.64	0.36	0.45	0.22	0.12	0.05	0.03	0.03	0.02	0.02	0.02	0.02	0.01	0.01
Wallers	59632	2836	2737	0.63	0.37	0.41	0.21	0.16	0.06	0.03	0.06	0.02	0.01	0.01	0.01	0	0.01
Wallers-en-Fagne	59633	157	139	0.67	0.33	0.47	0.22	0.07	0.08	0.03	0.03	0.04	0.03	0.03	0	0.01	0
Wallon-Cappel	59634	547	537	0.4	0.6	0.27	0.39	0.1	0.05	0.06	0.02	0.04	0.03	0.02	0.02	0.01	0
Wambaix	59635	241	221	0.5	0.5	0.32	0.26	0.12	0.1	0.07	0.01	0.04	0.04	0.02	0.02	0.01	0
Wambrechies	59636	6260	6035	0.34	0.66	0.2	0.39	0.15	0.08	0.05	0.02	0.06	0.02	0.02	0.01	0.01	0
Wandignies-Hamage	59637	778	739	0.53	0.47	0.37	0.29	0.13	0.07	0.02	0.03	0.04	0.02	0.01	0.01	0	0.01
Wannehain	59638	756	737	0.43	0.57	0.24	0.29	0.19	0.08	0.05	0.02	0.05	0.03	0.02	0.02	0.01	0.01
Wargnies-le-Grand	59639	675	652	0.52	0.48	0.32	0.27	0.13	0.06	0.05	0.05	0.04	0.02	0.03	0.01	0.01	0
Wargnies-le-Petit	59640	463	437	0.59	0.41	0.38	0.24	0.1	0.12	0.03	0.05	0.02	0.03	0.02	0.01	0.01	0
Warhem	59641	1279	1251	0.51	0.49	0.33	0.3	0.15	0.04	0.05	0.03	0.02	0.03	0.02	0.01	0.01	0
Warlaing	59642	356	332	0.44	0.56	0.28	0.31	0.13	0.05	0.07	0.05	0.03	0.03	0.03	0.02	0	0.01
Warneton	59643	154	147	0.44	0.56	0.27	0.34	0.09	0.05	0.11	0.02	0.05	0.04	0.01	0.02	0.01	0
Wasnes-au-Bac	59645	382	362	0.63	0.37	0.41	0.29	0.08	0.09	0.03	0.03	0.01	0.01	0.02	0.01	0.01	0.01
Wasquehal	59646	11307	10795	0.3	0.7	0.17	0.37	0.19	0.07	0.05	0.02	0.06	0.02	0.02	0.01	0.01	0
Watten	59647	1430	1395	0.7	0.3	0.48	0.2	0.14	0.06	0.01	0.03	0.02	0.02	0.01	0.01	0	0.01
Wattignies	59648	6807	6246	0.34	0.66	0.2	0.3	0.28	0.05	0.03	0.03	0.05	0.02	0.01	0.01	0.01	0.01
Wattignies-la-Victoire	59649	177	168	0.44	0.56	0.29	0.34	0.08	0.04	0.1	0.03	0.02	0.05	0.02	0.01	0.02	0.01
Wattrelos	59650	18668	17144	0.53	0.47	0.33	0.22	0.29	0.05	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01
Wavrechain-sous-Denain	59651	765	745	0.7	0.3	0.5	0.13	0.19	0.04	0.01	0.06	0.01	0.02	0.02	0.01	0.01	0.01
Wavrechain-sous-Faulx	59652	252	250	0.69	0.31	0.41	0.21	0.17	0.07	0.01	0.07	0.02	0.03	0.02	0	0	0
Wavrin	59653	4481	4235	0.48	0.52	0.31	0.28	0.17	0.05	0.03	0.03	0.05	0.02	0.02	0.02	0.01	0.01
Waziers	59654	3331	2993	0.58	0.42	0.36	0.13	0.35	0.04	0.01	0.06	0.01	0.01	0.01	0.01	0.01	0
Wemaers-Cappel	59655	141	130	0.58	0.42	0.33	0.28	0.1	0.1	0.06	0.04	0.04	0.02	0.01	0.02	0.01	0
Wervicq-Sud	59656	2546	2473	0.43	0.57	0.28	0.34	0.16	0.07	0.04	0.02	0.04	0.01	0.02	0.01	0	0
West-Cappel	59657	389	368	0.54	0.46	0.33	0.26	0.12	0.07	0.05	0.03	0.04	0.05	0.02	0.02	0.01	0.01
Wicres	59658	302	277	0.36	0.64	0.2	0.3	0.16	0.09	0.09	0.03	0.03	0.02	0.03	0.03	0.01	0.01
Wignehies	59659	1325	1308	0.66	0.34	0.46	0.18	0.16	0.05	0.02	0.04	0.01	0.02	0.02	0.01	0.01	0.01
Willems	59660	1838	1764	0.4	0.6	0.25	0.33	0.15	0.06	0.05	0.02	0.05	0.02	0.02	0.03	0.01	0
Willies	59661	74	63	0.48	0.52	0.28	0.19	0.27	0.07	0.01	0.03	0.04	0.01	0.04	0.04	0	0.01
Winnezeele	59662	743	733	0.52	0.48	0.32	0.31	0.14	0.06	0.03	0.03	0.03	0.02	0.03	0.01	0	0
Wormhout	59663	3301	3182	0.52	0.48	0.31	0.29	0.14	0.05	0.06	0.03	0.03	0.03	0.03	0.02	0.01	0.01
Wulverdinghe	59664	200	199	0.7	0.3	0.44	0.14	0.15	0.06	0.05	0.03	0.03	0.06	0.03	0	0	0.01
Wylder	59665	183	165	0.68	0.32	0.41	0.17	0.12	0.13	0.03	0.01	0.03	0.05	0.04	0.01	0.01	0.01
Zegerscappel	59666	919	873	0.57	0.43	0.4	0.24	0.12	0.06	0.07	0.02	0.02	0.03	0.02	0.01	0.01	0
Zermezeele	59667	156	155	0.5	0.5	0.35	0.31	0.05	0.06	0.09	0.01	0.02	0.02	0.03	0.03	0.01	0.02
Zuydcoote	59668	879	846	0.47	0.53	0.27	0.3	0.16	0.07	0.04	0.05	0.03	0.03	0.03	0.01	0.01	0.01
Zuytpeene	59669	330	305	0.5	0.5	0.34	0.24	0.18	0.06	0.07	0.03	0.02	0.01	0.03	0.01	0.01	0
